horizon,feature,importance_score
1h,app_temp,116396.5180866753
1h,azimuth,66.7700677064628
1h,clouds,406.7482220104148
1h,dewpt,67494.99999397695
1h,dhi,5528.35381723222
1h,dni,5104.913591378676
1h,elev_angle,7354.447888430933
1h,ghi,6724.682507661305
1h,precip,85.56701187651954
1h,pres,825.3787066704589
1h,rh,6540.582124747413
1h,slp,1773.0403235272604
1h,snow,237.17540256975315
1h,solar_rad,5218.757346971997
1h,temp,98154.08928334342
1h,uv,6162.295346748187
1h,vis,306.14620373802205
1h,wind_dir,94.68303343434233
1h,wind_gust_spd,8.601612472994173
1h,wind_spd,153.1159888873969
1h,month,1983.9674530298084
1h,year,106.5269589952217
1h,hour,42.292625891464404
1h,day_of_week,1067.9850748976892
1h,season,16883.71664867621
1h,B1_B2_expected_supply_temp,114287.00787824985
1h,B1_B2_expected_return_temp,0.0
1h,B1_B2_expected_delta_T,114287.00787337821
1h,F1_Nord_expected_supply_temp,114287.00790541085
1h,F1_Nord_expected_return_temp,0.0
1h,F1_Nord_expected_delta_T,114287.00790671838
1h,F1_Sud_expected_supply_temp,114287.00787824985
1h,F1_Sud_expected_return_temp,0.0
1h,F1_Sud_expected_delta_T,114287.00787337763
1h,Maintal_expected_supply_temp,0.0
1h,Maintal_expected_return_temp,0.0
1h,Maintal_expected_delta_T,0.0
1h,N1_expected_supply_temp,114287.00793438255
1h,N1_expected_return_temp,0.0
1h,N1_expected_delta_T,114287.00793401097
1h,N2_expected_supply_temp,114287.00793780613
1h,N2_expected_return_temp,0.0
1h,N2_expected_delta_T,114287.00794038187
1h,V1_expected_supply_temp,114287.00790541085
1h,V1_expected_return_temp,0.0
1h,V1_expected_delta_T,114287.00790671838
1h,V2_expected_supply_temp,114287.00779328748
1h,V2_expected_return_temp,0.0
1h,V2_expected_delta_T,114287.00778191461
1h,V6_expected_supply_temp,114287.00794220807
1h,V6_expected_return_temp,0.0
1h,V6_expected_delta_T,114287.00794042255
1h,W1_expected_supply_temp,114287.00790541185
1h,W1_expected_return_temp,0.0
1h,W1_expected_delta_T,114287.00790671838
1h,ZN_expected_supply_temp,114287.00787824985
1h,ZN_expected_return_temp,0.0
1h,ZN_expected_delta_T,114287.00787337821
1h,hdd_18,159575.77539073434
1h,hdd_15_5,188887.81558743017
1h,temp_change,199.39957513129602
1h,is_daytime,306.02970641768184
1h,is_weekend,1252.1683940033836
1h,demand_lag_12h,116697.29876396229
1h,demand_lag_24h,131409.19645699073
1h,demand_lag_48h,65444.60885704197
1h,demand_lag_72h,53322.68661799497
1h,demand_lag_96h,46085.92601995566
1h,demand_lag_120h,41790.28330231794
1h,demand_lag_144h,47904.0825955871
1h,demand_lag_168h,56411.0121456496
1h,demand_lag_169h,50692.91691015107
1h,demand_lag_170h,44418.7801572056
1h,demand_lag_171h,38997.054298238676
1h,demand_lag_172h,35103.93679715485
1h,demand_mean_24h,222808.72830137776
1h,demand_std_24h,34847.095133397
1h,temp_mean_24h,91473.208906783
1h,temp_std_24h,9680.019427182644
1h,demand_mean_48h,149723.2162790181
1h,demand_std_48h,42153.39211665215
1h,temp_mean_48h,84116.97841710983
1h,temp_std_48h,10176.177790627737
1h,demand_mean_72h,120223.72948658165
1h,demand_std_72h,49181.334268524064
1h,temp_mean_72h,78035.35577403498
1h,temp_std_72h,9707.182793222793
1h,demand_mean_96h,105686.21449626525
1h,demand_std_96h,53273.228565986035
1h,temp_mean_96h,72767.52818224774
1h,temp_std_96h,8930.927478280835
1h,demand_mean_168h,92689.39932869966
1h,demand_std_168h,53025.87064228949
1h,temp_mean_168h,62496.3827271438
1h,temp_std_168h,6842.367134355798
1h,demand_mean_336h,75309.28444839842
1h,demand_std_336h,49935.69507795497
1h,temp_mean_336h,54603.05186739209
1h,temp_std_336h,4565.420238429995
1h,demand_mean_504h,66955.27134089322
1h,demand_std_504h,45189.57442200957
1h,temp_mean_504h,50858.399701089664
1h,temp_std_504h,4784.277432189202
1h,demand_velocity_24h,2188.8871228833596
1h,demand_velocity_48h,4034.190416725148
1h,demand_velocity_72h,4746.863573791687
1h,demand_acceleration_72h,1279.6184901278727
1h,demand_jerk_72h,564.8083353434464
1h,temp_trend_48h,572.2042449544499
1h,demand_trend_48h,2545.8642261793257
1h,temp_trend_72h,1010.2328706652352
1h,demand_trend_72h,3028.3558370677165
1h,temp_trend_96h,1420.7653935949797
1h,demand_trend_96h,3099.662500605244
1h,temp_trend_168h,2108.4548714795123
1h,demand_trend_168h,1969.1072842291587
1h,hour_sin,104.0582870989778
1h,hour_cos,385.72273782382024
1h,dow_sin,841.3536362275843
1h,dow_cos,0.38694959887455366
1h,month_sin,7500.510309056532
1h,month_cos,30955.238288577202
1h,season_sin_1,1868.735192143529
1h,season_cos_1,52506.55089158582
1h,season_sin_2,664.8459225373186
1h,season_cos_2,1147.6266026241444
1h,season_sin_3,0.0004352394429033819
1h,season_cos_3,17.093675771198882
1h,week_sin_1,679.6220159344952
1h,week_cos_1,112.58501965562512
1h,week_sin_2,290.39358482204466
1h,week_cos_2,15.579792317419585
1h,week_sin_3,10.603821307470419
1h,week_cos_3,25.74837302212517
1h,week_sin_4,21.341112621436366
1h,week_cos_4,2.1520129259671443
1h,is_business_day,1252.1683940033865
1h,is_friday,18.526337504058436
1h,is_sunday,542.673676666675
1h,week_of_year,2174.598509950045
1h,day_of_month,92.74869889708101
1h,is_month_start,2.8104018325748026
1h,is_month_middle,0.7625482533825266
1h,is_month_end,9.042833542900338
1h,temp_change_6h,807.4422443615864
1h,temp_change_24h,665.0697664751275
1h,temp_change_72h,1734.0671695717115
1h,hdd_trend_72h,1342.873743141627
1h,hdd_acceleration_72h,235.89322639640338
1h,V1_temp_trend_72h,1333.6657783780859
1h,V1_temp_volatility_72h,24130.541387838166
1h,V1_temp_momentum_48h,1308.9845019209324
1h,N1_temp_trend_72h,1333.6657785680854
1h,N1_temp_volatility_72h,24130.541388291815
1h,N1_temp_momentum_48h,1308.9845022278503
1h,B1_B2_temp_trend_72h,1333.6657784411186
1h,B1_B2_temp_volatility_72h,24130.54139590539
1h,B1_B2_temp_momentum_48h,1308.9845019561883
1h,W1_temp_trend_72h,1333.6657783780859
1h,W1_temp_volatility_72h,24130.541387838166
1h,W1_temp_momentum_48h,1308.9845019209324
1h,F1_Sud_temp_trend_72h,1333.6657784411186
1h,F1_Sud_temp_volatility_72h,24130.54139590539
1h,F1_Sud_temp_momentum_48h,1308.9845019561883
1h,temp_hdd_interaction,2447.619481963454
1h,weekend_seasonal,157.18291247871792
1h,month_dow_interaction,239.53601379334904
1h,temp_seasonal_interaction,12974.371837074432
1h,demand_volatility_24h,21334.706656214406
1h,temp_volatility_24h,9680.019427182644
1h,demand_volatility_72h,24297.529731130595
1h,temp_volatility_72h,9707.182793222793
1h,demand_volatility_168h,30541.410835527033
1h,temp_volatility_168h,6842.36713435579
6h,app_temp,67876.08283399872
6h,azimuth,21.368542000929214
6h,clouds,404.0869982610662
6h,dewpt,58410.021924150686
6h,dhi,3413.5758805927712
6h,dni,3051.4682422472274
6h,elev_angle,7656.436825194273
6h,ghi,4565.56357952595
6h,precip,72.26618267820062
6h,pres,704.9459215426305
6h,rh,3218.9221427834686
6h,slp,1499.1693963658379
6h,snow,267.01935831018335
6h,solar_rad,3709.6749140460106
6h,temp,59894.83532336537
6h,uv,4916.3285695772565
6h,vis,96.36624860235021
6h,wind_dir,29.907215329666784
6h,wind_gust_spd,33.30907532701196
6h,wind_spd,330.774265655334
6h,month,1968.4781665878138
6h,year,105.6739157977595
6h,hour,16.269813766831888
6h,day_of_week,801.3064701782677
6h,season,16727.353094952905
6h,B1_B2_expected_supply_temp,61731.47483198917
6h,B1_B2_expected_return_temp,0.0
6h,B1_B2_expected_delta_T,61731.474830172854
6h,F1_Nord_expected_supply_temp,61731.474841510135
6h,F1_Nord_expected_return_temp,0.0
6h,F1_Nord_expected_delta_T,61731.474842048425
6h,F1_Sud_expected_supply_temp,61731.47483198917
6h,F1_Sud_expected_return_temp,0.0
6h,F1_Sud_expected_delta_T,61731.47483017303
6h,Maintal_expected_supply_temp,0.0
6h,Maintal_expected_return_temp,0.0
6h,Maintal_expected_delta_T,0.0
6h,N1_expected_supply_temp,61731.4748519288
6h,N1_expected_return_temp,0.0
6h,N1_expected_delta_T,61731.474851801235
6h,N2_expected_supply_temp,61731.47485306831
6h,N2_expected_return_temp,0.0
6h,N2_expected_delta_T,61731.47485397755
6h,V1_expected_supply_temp,61731.474841510135
6h,V1_expected_return_temp,0.0
6h,V1_expected_delta_T,61731.474842048425
6h,V2_expected_supply_temp,61731.47480241529
6h,V2_expected_return_temp,0.0
6h,V2_expected_delta_T,61731.4747983639
6h,V6_expected_supply_temp,61731.474854638356
6h,V6_expected_return_temp,0.0
6h,V6_expected_delta_T,61731.4748539936
6h,W1_expected_supply_temp,61731.47484151095
6h,W1_expected_return_temp,0.0
6h,W1_expected_delta_T,61731.474842048425
6h,ZN_expected_supply_temp,61731.47483198917
6h,ZN_expected_return_temp,0.0
6h,ZN_expected_delta_T,61731.474830172854
6h,hdd_18,79125.35509761886
6h,hdd_15_5,85438.83962974763
6h,temp_change,444.0697261690847
6h,is_daytime,163.16806177840274
6h,is_weekend,807.4237863712492
6h,demand_lag_12h,76596.4310228071
6h,demand_lag_24h,56510.63546454088
6h,demand_lag_48h,38033.474248598686
6h,demand_lag_72h,32719.376129390486
6h,demand_lag_96h,29324.20083725648
6h,demand_lag_120h,28061.464965070485
6h,demand_lag_144h,31753.398862767135
6h,demand_lag_168h,32936.09092114917
6h,demand_lag_169h,32267.21034172682
6h,demand_lag_170h,32880.921011891645
6h,demand_lag_171h,34332.245727405745
6h,demand_lag_172h,36039.12199076451
6h,demand_mean_24h,165078.53546888012
6h,demand_std_24h,30205.489602116868
6h,temp_mean_24h,84099.12351484991
6h,temp_std_24h,9817.251463587841
6h,demand_mean_48h,121545.98170623356
6h,demand_std_48h,37995.278242769426
6h,temp_mean_48h,78303.0544062775
6h,temp_std_48h,10280.838124778053
6h,demand_mean_72h,103958.22502532115
6h,demand_std_72h,46637.00549408367
6h,temp_mean_72h,73241.40092387462
6h,temp_std_72h,9766.008045577792
6h,demand_mean_96h,94313.34211846489
6h,demand_std_96h,50805.05516515162
6h,temp_mean_96h,68792.53459673614
6h,temp_std_96h,8953.182805550667
6h,demand_mean_168h,87735.74758174736
6h,demand_std_168h,50703.15304959096
6h,temp_mean_168h,60094.51110498997
6h,temp_std_168h,6890.815548942793
6h,demand_mean_336h,73128.80958375805
6h,demand_std_336h,48805.30911136465
6h,temp_mean_336h,53419.765434078865
6h,temp_std_336h,4606.621022034886
6h,demand_mean_504h,65561.20420422062
6h,demand_std_504h,44346.7413078872
6h,temp_mean_504h,50058.16401977139
6h,temp_std_504h,4855.467492297977
6h,demand_velocity_24h,1644.2840905831195
6h,demand_velocity_48h,2678.2104815292696
6h,demand_velocity_72h,3174.382362759177
6h,demand_acceleration_72h,975.7956937601589
6h,demand_jerk_72h,521.4022219772772
6h,temp_trend_48h,99.16787603111449
6h,demand_trend_48h,1570.774210788469
6h,temp_trend_72h,493.7020447099919
6h,demand_trend_72h,2000.950082415123
6h,temp_trend_96h,907.6611326765002
6h,demand_trend_96h,2157.9849151285966
6h,temp_trend_168h,1623.5152738521797
6h,demand_trend_168h,1234.8378604694658
6h,hour_sin,265.5225944643328
6h,hour_cos,223.18477083949463
6h,dow_sin,692.1150329046258
6h,dow_cos,35.90061692479854
6h,month_sin,7402.258820729693
6h,month_cos,31226.295209439948
6h,season_sin_1,1825.5383759359715
6h,season_cos_1,52854.29164237517
6h,season_sin_2,659.7938449506619
6h,season_cos_2,1158.6782133646632
6h,season_sin_3,0.00816297058827728
6h,season_cos_3,17.151685796778086
6h,week_sin_1,763.4597076777941
6h,week_cos_1,31.410924063829032
6h,week_sin_2,207.37030222685758
6h,week_cos_2,97.78963884487334
6h,week_sin_3,0.0035659038631064193
6h,week_cos_3,36.36959856394508
6h,week_sin_4,19.20946677893848
6h,week_cos_4,4.267034791007206
6h,is_business_day,807.4237863712524
6h,is_friday,3.786240782003991
6h,is_sunday,199.94897440534575
6h,week_of_year,2151.473269923617
6h,day_of_month,90.87761905821698
6h,is_month_start,3.2766531575845934
6h,is_month_middle,1.6290747591096655
6h,is_month_end,7.495639113838296
6h,temp_change_6h,291.6760970462906
6h,temp_change_24h,484.6529087306228
6h,temp_change_72h,1341.4426381135133
6h,hdd_trend_72h,690.2264312840288
6h,hdd_acceleration_72h,153.23297282950546
6h,V1_temp_trend_72h,841.594021366819
6h,V1_temp_volatility_72h,23003.74494066964
6h,V1_temp_momentum_48h,1023.0806846622688
6h,N1_temp_trend_72h,841.5940214618868
6h,N1_temp_volatility_72h,23003.744941185345
6h,N1_temp_momentum_48h,1023.0806848942209
6h,B1_B2_temp_trend_72h,841.5940214507857
6h,B1_B2_temp_volatility_72h,23003.7449482176
6h,B1_B2_temp_momentum_48h,1023.0806847292889
6h,W1_temp_trend_72h,841.5940213668194
6h,W1_temp_volatility_72h,23003.744940669665
6h,W1_temp_momentum_48h,1023.0806846622688
6h,F1_Sud_temp_trend_72h,841.5940214507857
6h,F1_Sud_temp_volatility_72h,23003.7449482176
6h,F1_Sud_temp_momentum_48h,1023.0806847292889
6h,temp_hdd_interaction,1878.4832135067131
6h,weekend_seasonal,211.47175722156607
6h,month_dow_interaction,186.99702143573765
6h,temp_seasonal_interaction,13609.90203764173
6h,demand_volatility_24h,21935.8511970868
6h,temp_volatility_24h,9817.251463587841
6h,demand_volatility_72h,23684.401029121396
6h,temp_volatility_72h,9766.008045577792
6h,demand_volatility_168h,30384.349183336606
6h,temp_volatility_168h,6890.815548942767
24h,app_temp,78276.67216571655
24h,azimuth,29.88210053227782
24h,clouds,603.3706246742485
24h,dewpt,48398.09115154537
24h,dhi,4464.988133900325
24h,dni,4053.494136856843
24h,elev_angle,6767.960035877354
24h,ghi,5802.852139389846
24h,precip,35.72268962148319
24h,pres,349.91653220973745
24h,rh,6125.878516064258
24h,slp,971.2279260427468
24h,snow,222.56345929054297
24h,solar_rad,4432.6924726735415
24h,temp,69021.66969175305
24h,uv,5433.745251150829
24h,vis,162.37201144643512
24h,wind_dir,32.32648660152871
24h,wind_gust_spd,93.38665523972149
24h,wind_spd,542.3354922882877
24h,month,1885.6033181732887
24h,year,104.81047677299301
24h,hour,10.376467272273398
24h,day_of_week,236.06900986599533
24h,season,15902.776600725976
24h,B1_B2_expected_supply_temp,66225.78372600331
24h,B1_B2_expected_return_temp,0.0
24h,B1_B2_expected_delta_T,66225.78372420264
24h,F1_Nord_expected_supply_temp,66225.78373894647
24h,F1_Nord_expected_return_temp,0.0
24h,F1_Nord_expected_delta_T,66225.78373869002
24h,F1_Sud_expected_supply_temp,66225.78372600331
24h,F1_Sud_expected_return_temp,0.0
24h,F1_Sud_expected_delta_T,66225.78372420269
24h,Maintal_expected_supply_temp,0.0
24h,Maintal_expected_return_temp,0.0
24h,Maintal_expected_delta_T,0.0
24h,N1_expected_supply_temp,66225.78375053742
24h,N1_expected_return_temp,0.0
24h,N1_expected_delta_T,66225.78375038166
24h,N2_expected_supply_temp,66225.78375149447
24h,N2_expected_return_temp,0.0
24h,N2_expected_delta_T,66225.7837525126
24h,V1_expected_supply_temp,66225.78373894647
24h,V1_expected_return_temp,0.0
24h,V1_expected_delta_T,66225.78373869002
24h,V2_expected_supply_temp,66225.78369066602
24h,V2_expected_return_temp,0.0
24h,V2_expected_delta_T,66225.78368613521
24h,V6_expected_supply_temp,66225.78375325572
24h,V6_expected_return_temp,0.0
24h,V6_expected_delta_T,66225.78375253065
24h,W1_expected_supply_temp,66225.78373894638
24h,W1_expected_return_temp,0.0
24h,W1_expected_delta_T,66225.78373869002
24h,ZN_expected_supply_temp,66225.78372600331
24h,ZN_expected_return_temp,0.0
24h,ZN_expected_delta_T,66225.78372420264
24h,hdd_18,95097.81791328947
24h,hdd_15_5,103291.90617180284
24h,temp_change,24.38179830137477
24h,is_daytime,167.11930584484176
24h,is_weekend,62.123592952068336
24h,demand_lag_12h,62553.03922668567
24h,demand_lag_24h,68973.12256165095
24h,demand_lag_48h,55830.55597846796
24h,demand_lag_72h,47964.874615626046
24h,demand_lag_96h,43097.28486618074
24h,demand_lag_120h,49422.06198409803
24h,demand_lag_144h,59636.40762305805
24h,demand_lag_168h,43225.86140610884
24h,demand_lag_169h,41352.9888249631
24h,demand_lag_170h,37743.52888243428
24h,demand_lag_171h,33609.60889327523
24h,demand_lag_172h,29920.425902665185
24h,demand_mean_24h,86069.73192861835
24h,demand_std_24h,21756.472037152977
24h,temp_mean_24h,67940.75279270225
24h,temp_std_24h,10435.986056494277
24h,demand_mean_48h,77018.15448115254
24h,demand_std_48h,33281.77945542275
24h,temp_mean_48h,64439.06852460644
24h,temp_std_48h,10577.81842359472
24h,demand_mean_72h,73474.80390759466
24h,demand_std_72h,41276.41199078738
24h,temp_mean_72h,61257.1454994445
24h,temp_std_72h,9829.108604331239
24h,demand_mean_96h,71012.267641532
24h,demand_std_96h,44720.307832310544
24h,temp_mean_96h,58771.62153072308
24h,temp_std_96h,8975.976777346763
24h,demand_mean_168h,75109.32740442947
24h,demand_std_168h,44361.632199418666
24h,temp_mean_168h,53651.367822602326
